vaccine,country,activity_type,gavi_support,year,age_first,age_last,gender,target,coverage,subnational
HepB_BD,AFG,campaign,True,2021,1,10,both,0.6193184095215415,0.023614671593408687,False
HepB_BD,AFG,campaign,True,2022,1,10,both,0.6542002722068131,0.07852058526293837,False
HepB_BD,AFG,campaign,True,2023,1,10,both,0.5196929174823238,0.25669182297661175,False
HepB_BD,AFG,campaign,True,2024,1,10,both,0.8897907643842388,0.8882794438433742,False
HepB_BD,AFG,campaign,True,2025,1,10,both,0.1865608688992253,0.18580961454542333,False
HepB_BD,AFG,campaign,True,2026,1,10,both,0.4958929535063903,0.6001384578460849,False
HepB_BD,AFG,campaign,True,2027,1,10,both,0.46782548769939203,0.203017010765411,False
HepB_BD,AFG,campaign,True,2028,1,10,both,0.5432979389629808,0.6208436044402679,False
HepB_BD,AFG,campaign,True,2029,1,10,both,0.8790302577192298,0.4971150681660428,False
HepB_BD,AFG,campaign,True,2030,1,10,both,0.29072971665784564,0.39546213783244233,False
HepB_BD,AFG,routine,True,2021,1,10,both,0.33124761698062866,0.017268836897482487,False
HepB_BD,AFG,routine,True,2022,1,10,both,0.4653842671745635,0.5353773983029758,False
HepB_BD,AFG,routine,True,2023,1,10,both,0.3574589517287955,0.5358438141604864,False
HepB_BD,AFG,routine,True,2024,1,10,both,0.535323992293435,0.5847097720565279,False
HepB_BD,AFG,routine,True,2025,1,10,both,0.34977985983652504,0.632415276952832,False
HepB_BD,AFG,routine,True,2026,1,10,both,0.3867193678986852,0.18233879325451874,False
HepB_BD,AFG,routine,True,2027,1,10,both,0.7220192335130652,0.21481968329421963,False
HepB_BD,AFG,routine,True,2028,1,10,both,0.326872975649667,0.06425374010807816,False
HepB_BD,AFG,routine,True,2029,1,10,both,0.4545273088640076,0.21064637819366294,False
HepB_BD,AFG,routine,True,2030,1,10,both,0.005956259242039241,0.6505332578755677,False
HepB_BD,AGO,campaign,True,2021,1,10,both,0.2991852085663017,0.6702273722362941,False
